ENTITIES,GROUPS,FAMILY,CROSS SECTION mm,Fixation,SPOOL TYPE,RM,LME PROJECTS,MATCH,Month,Month Name,QTY_Km,RC_Needs_Kg,CC_Needs_Kg,ES_mm,AV_INDEX,TOTAL_AMOUNT,LME_SALES_avg,BASIC_LME_avg,UNIT_PRICE_avg,AV_avg
COFICAB Kenitra,APTIV,F3        ,75,M-1,PRODUCED,PPH31203,LME Cash M-1 + 332€ APTIV,38F3        0075,1,Jan,38.678,244.0093189009255,259.1426,29.0085,602.21646,3300.432534034,10.41209,10.08009,85.33100300000001,15.569999999999999
COFICAB Kenitra,APTIV,F3        ,100,M-1,PRODUCED,PPH31202,LME Cash M-1 + 332€ APTIV,38F3        0100,1,Jan,5.9,49.4460267279066,51.92000000000001,5.9,120.83200000000001,661.4277128,10.41209,10.08009,112.106392,20.48
COFICAB Kenitra,APTIV,F3        ,150,M-1,PRODUCED,PPH31202,LME Cash M-1 + 332€ APTIV,38F3        0150,1,Jan,4.0,48.86888235655981,51.2,6.0,104.84,637.9390080000001,10.41209,10.08009,159.48475200000001,26.21
COFICAB Kenitra,APTIV,F3        ,250,M-1,PRODUCED,PPH31202,LME Cash M-1 + 332€ APTIV,38F3        0250,1,Jan,5.7,116.00991924995498,123.69,14.25,218.42400000000004,1506.2954120999998,10.41209,10.08009,264.26235299999996,38.32
COFICAB Kenitra,APTIV,F3        ,400,M-1,PRODUCED,PPH312016,LME Cash M-1 + 332€ APTIV,38F3        0400,1,Jan,4.943,162.82153581157377,173.005,19.772,304.73595,2106.07958045,10.41209,10.08009,426.07314999999994,61.65
COFICAB Kenitra,APTIV,F3        ,600,M-1,PRODUCED,PPH312016,LME Cash M-1 + 332€ APTIV,38F3        0600,1,Jan,4.311,215.834231197452,226.32750000000001,25.866,373.67748000000006,2730.219779475,10.41209,10.08009,633.314725,86.68
COFICAB Kenitra,APTIV,FCF3      ,1600,M-1,PRODUCED,PPH312017,LME Cash M-1 + 332€ APTIV,38FCF3      1600,1,Jan,3.0,404.00562943157513,452.40000000000003,48.0,1054.17,5764.599516,10.41209,10.08009,1921.5331720000001,351.39000000000004
COFICAB Kenitra,APTIV,FCF3      ,5000,M-1,PRODUCED,PPH312017,LME Cash M-1 + 332€ APTIV,110FCF3      5000,1,Jan,6.35,2750.1651806004443,3111.5,317.5,6578.155500000001,38975.373535,10.41209,10.08009,6137.8541,1035.93
COFICAB Kenitra,APTIV,FLR2X B T4,150,M-1,PURCHASED,COFPEXT4-S,LME CASH M-1 + 315$ + 1% + 122€ APTIV,110FLR2X B T40150,1,Jan,8.86,108.24457441977998,127.584,13.29,328.4402,1677.5874147199997,10.57458,10.08095,189.34395199999997,37.07
COFICAB Kenitra,APTIV,FLR2X B T4,250,M-1,PURCHASED,COFPEXT4-M,LME CASH M-1 + 315$ + 1% + 122€ APTIV,110FLR2X B T40250,1,Jan,6.391,130.0735778818355,153.38400000000001,15.9775,378.47502,2000.4463987199997,10.57458,10.08095,313.00991999999997,59.22
COFICAB Kenitra,APTIV,FLR2X T4  ,600,M-1,PURCHASED,COFPEXT4-M,LME CASH M-1 + 315$ + 1% + 122€ APTIV,110FLR2X T4  0600,1,Jan,1.336,66.0261655247453,76.95360000000001,8.016,186.86632000000003,1000.618319488,10.57458,10.08095,748.9658079999999,139.87
COFICAB Kenitra,APTIV,FLR2X-A T4,75,M-1,PURCHASED,COFPEXT4-S,LME CASH M-1 + 315$ + 1% + 122€ APTIV,110FLR2X-A T40075,1,Jan,15.86,100.3854513127232,114.19200000000001,11.895,353.0436,1560.5760393599999,10.57458,10.08095,98.396976,22.26
COFICAB Kenitra,APTIV,FLRY      ,800,M-1,PRODUCED,PVC2010,LME Cash M-1 + 332€ APTIV,126FLRY      0800,1,Jan,141.187,9193.003122025919,10864.33965,1129.496,10147.109690000001,123267.5919163685,10.41209,10.08009,873.0803255,71.87
COFICAB Kenitra,APTIV,FLRY      ,1000,M-1,PRODUCED,PVC2010,LME Cash M-1 + 332€ APTIV,119FLRY      1000,1,Jan,12.404,1054.5567115352094,1170.9376,124.04,1151.21524,13343.122915584,10.41209,10.08009,1075.711296,92.81
COFICAB Kenitra,APTIV,FLRY      ,1000,M-1,PRODUCED,PVC2010,LME Cash M-1 + 332€ APTIV,126FLRY      1000,1,Jan,79.886,6791.705696364216,7541.2384,798.86,7414.219660000001,85934.27259225599,10.41209,10.08009,1075.711296,92.81
COFICAB Kenitra,APTIV,FLRY      ,1000,M-1,PRODUCED,PVC2010,LME Cash M-1 + 332€ APTIV,21FLRY      1000,1,Jan,13.806999999999999,1173.836223489732,1303.3808,138.07000000000002,1281.42767,14852.345863871999,10.41209,10.08009,1075.711296,92.81
COFICAB Kenitra,APTIV,FLRY      ,1600,M-1,PRODUCED,PVC2011,LME Cash M-1 + 332€ APTIV,119FLRY      1600,1,Jan,1.0,132.978842226344,150.8,16.0,156.07,1726.213172,10.41209,10.08009,1726.213172,156.07
COFICAB Kenitra,APTIV,FLRY      ,2500,M-1,PRODUCED,PVC2011,LME Cash M-1 + 332€ APTIV,126FLRY      2500,1,Jan,6.879999999999999,1437.7916947018741,1616.8,172.0,1724.4032,18558.670311999995,10.41209,10.08009,2697.4811499999996,250.64
COFICAB Kenitra,APTIV,FLRY      ,2500,M-1,PRODUCED,PVC2011,LME Cash M-1 + 332€ APTIV,21FLRY      2500,1,Jan,24.506999999999998,5121.5059683225045,5759.145,612.675,6142.43448,66107.17054304999,10.41209,10.08009,2697.4811499999996,250.63999999999996
COFICAB Kenitra,APTIV,FLRY      ,3500,M-1,PRODUCED,PVC2011,LME Cash M-1 + 332€ APTIV,21FLRY      3500,1,Jan,4.2,1240.5626743690973,1411.2,147.0,2354.898,17048.439408000002,10.41209,10.08009,4059.15224,560.69
COFICAB Kenitra,APTIV,FLRY-A    ,35,M-1,PRODUCED,PVC2035T,LME Cash M-1 + 332€ APTIV,110FLRY-A    0035,1,Jan,7001.235,21098.21143421485,22403.952,2450.43225,53209.386,286481.35057968,10.41209,10.08009,40.918688,7.6
COFICAB Kenitra,APTIV,FLRY-A    ,35,M-1,PRODUCED,PVC2035T,LME Cash M-1 + 332€ APTIV,38FLRY-A    0035,1,Jan,813.68,2452.023490111664,2603.7760000000003,284.788,6183.968,33294.718051840006,10.41209,10.08009,40.918688,7.6
COFICAB Kenitra,APTIV,FLRY-B    ,35,M-1,PRODUCED,PVC2035T,LME Cash M-1 + 332€ APTIV,110FLRY-B    0035,1,Jan,127.418,383.97014171485546,407.73760000000004,44.5963,927.6030400000001,5173.003627584,10.41209,10.08009,40.598688,7.279999999999999
COFICAB Kenitra,APTIV,FLRY-B    ,35,M-1,PRODUCED,PVC2035T,LME Cash M-1 + 332€ APTIV,38FLRY-B    0035,1,Jan,14201.963,42797.169518742514,45446.2816,4970.68705,103390.29064,576581.064824544,10.41209,10.08009,40.598688,7.28
COFICAB Kenitra,APTIV,FLRY-B    ,50,M-1,PRODUCED,PVC2035T,LME Cash M-1 + 332€ APTIV,110FLRY-B    0050,1,Jan,1874.163,7908.586704630345,8246.317200000001,937.0815,15574.294530000001,101435.691384948,10.41209,10.08009,54.12319599999999,8.31
COFICAB Kenitra,APTIV,FLRY-B    ,50,M-1,PRODUCED,PVC2035T,LME Cash M-1 + 332€ APTIV,38FLRY-B    0050,1,Jan,4358.942,18393.848746056134,19179.344800000003,2179.471,36222.808020000004,235919.872218632,10.412089999999997,10.08009,54.123196,8.31
COFICAB Kenitra,APTIV,FLRY-B    ,50,M-1,PURCHASED,PVC2035T,LME Cash M-1 + 332€ APTIV,110FLRY-B    0050,1,Jan,7.71,32.53463198915994,33.924,3.855,64.0701,417.28984116,10.41209,10.08009,54.123196,8.31
COFICAB Kenitra,APTIV,FLRY-B    ,50,M-1,PURCHASED,PVC2035T,LME Cash M-1 + 332€ APTIV,38FLRY-B    0050,1,Jan,20.022,84.48876805278343,88.0968,10.011,166.38282,1083.654630312,10.41209,10.08009,54.123196,8.31
COFICAB Kenitra,APTIV,FLRY-B    ,75,M-1,PRODUCED,PVC2005,LME Cash M-1 + 332€ APTIV,110FLRY-B    0075,1,Jan,595.77,3758.556076363938,3991.659,446.8275,6190.050300000001,47751.563057310006,10.41209,10.08009,80.151003,10.39
COFICAB Kenitra,APTIV,FLRY-B    ,75,M-1,PRODUCED,PVC2005,LME Cash M-1 + 332€ APTIV,38FLRY-B    0075,1,Jan,2620.38,16531.2875293864,17556.546000000002,1965.285,27225.7482,210026.08524114,10.41209,10.08009,80.151003,10.39
COFICAB Kenitra,APTIV,FLRY-B    ,75,M-1,PURCHASED,PVC2005,LME Cash M-1 + 332€ APTIV,38FLRY-B    0075,1,Jan,8.0,50.469893769259116,53.6,6.0,83.12,641.208024,10.41209,10.08009,80.151003,10.39
